,area_name,total_cases,area_code
0,City of London,104,E09000001
1,Barking and Dagenham,22779,E09000002
2,Barnet,29327,E09000003
3,Bexley,21700,E09000004
4,Brent,27303,E09000005
5,Bromley,23741,E09000006
6,Camden,13580,E09000007
7,Croydon,29998,E09000008
8,Ealing,29454,E09000009
9,Enfield,29074,E09000010
10,Greenwich,21628,E09000011
11,Hackney,21004,E09000012
12,Hammersmith and Fulham,12433,E09000013
13,Haringey,20218,E09000014
14,Harrow,19748,E09000015
15,Havering,26242,E09000016
16,Hillingdon,25016,E09000017
17,Hounslow,23568,E09000018
18,Islington,14493,E09000019
19,Kensington and Chelsea,8585,E09000020
20,Kingston upon Thames,11692,E09000021
21,Lambeth,23476,E09000022
22,Lewisham,21120,E09000023
23,Merton,15575,E09000024
24,Newham,34356,E09000025
25,Redbridge,31775,E09000026
26,Richmond upon Thames,10328,E09000027
27,Southwark,21838,E09000028
28,Sutton,15366,E09000029
29,Tower Hamlets,27953,E09000030
30,Waltham Forest,24180,E09000031
31,Wandsworth,21190,E09000032
32,Westminster,13472,E09000033
